127.0.0.1 - - [14/Mar/2018:16:25:37 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [14/Mar/2018:16:25:41 +0530] "GET /CustomForm/ HTTP/1.1" 200 6222
0:0:0:0:0:0:0:1 - - [14/Mar/2018:16:25:42 +0530] "GET /CustomForm/static/js/app.js;jsessionid=2319F6DB485AE292797C3FB17C8BA7BC HTTP/1.1" 200 55
0:0:0:0:0:0:0:1 - - [14/Mar/2018:16:25:42 +0530] "GET /CustomForm/static/css/app.css;jsessionid=2319F6DB485AE292797C3FB17C8BA7BC HTTP/1.1" 200 622
0:0:0:0:0:0:0:1 - - [14/Mar/2018:16:25:42 +0530] "GET /CustomForm/static/js/service/user_service.js;jsessionid=2319F6DB485AE292797C3FB17C8BA7BC HTTP/1.1" 200 2071
0:0:0:0:0:0:0:1 - - [14/Mar/2018:16:25:42 +0530] "GET /CustomForm/static/js/controller/user_controller.js;jsessionid=2319F6DB485AE292797C3FB17C8BA7BC HTTP/1.1" 200 2400
0:0:0:0:0:0:0:1 - - [14/Mar/2018:16:26:03 +0530] "GET /CustomForm/ HTTP/1.1" 200 6222
0:0:0:0:0:0:0:1 - - [14/Mar/2018:16:26:07 +0530] "GET /CustomForm/static/js/controller/user_controller.js;jsessionid=6EF60C89B1DDCACC780F0E76C40CFDAF HTTP/1.1" 200 2400
0:0:0:0:0:0:0:1 - - [14/Mar/2018:16:26:07 +0530] "GET /CustomForm/static/js/service/user_service.js;jsessionid=6EF60C89B1DDCACC780F0E76C40CFDAF HTTP/1.1" 200 2071
0:0:0:0:0:0:0:1 - - [14/Mar/2018:16:26:07 +0530] "GET /CustomForm/static/js/app.js;jsessionid=6EF60C89B1DDCACC780F0E76C40CFDAF HTTP/1.1" 200 55
0:0:0:0:0:0:0:1 - - [14/Mar/2018:16:26:07 +0530] "GET /CustomForm/static/css/app.css;jsessionid=6EF60C89B1DDCACC780F0E76C40CFDAF HTTP/1.1" 200 622
0:0:0:0:0:0:0:1 - - [14/Mar/2018:16:26:10 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [14/Mar/2018:16:26:10 +0530] "GET /CustomForm/user/ HTTP/1.1" 200 217
0:0:0:0:0:0:0:1 - - [14/Mar/2018:16:27:49 +0530] "GET /CustomForm/ HTTP/1.1" 200 6046
0:0:0:0:0:0:0:1 - - [14/Mar/2018:16:27:49 +0530] "GET /CustomForm/static/js/service/user_service.js HTTP/1.1" 200 2071
0:0:0:0:0:0:0:1 - - [14/Mar/2018:16:27:49 +0530] "GET /CustomForm/static/js/controller/user_controller.js HTTP/1.1" 200 2400
0:0:0:0:0:0:0:1 - - [14/Mar/2018:16:27:49 +0530] "GET /CustomForm/static/js/app.js HTTP/1.1" 200 55
0:0:0:0:0:0:0:1 - - [14/Mar/2018:16:27:49 +0530] "GET /CustomForm/user/ HTTP/1.1" 200 217
0:0:0:0:0:0:0:1 - - [14/Mar/2018:16:51:45 +0530] "GET /CustomForm/ HTTP/1.1" 200 6060
0:0:0:0:0:0:0:1 - - [14/Mar/2018:16:51:45 +0530] "GET /CustomForm/static/css/app.css HTTP/1.1" 200 622
0:0:0:0:0:0:0:1 - - [14/Mar/2018:16:51:45 +0530] "GET /CustomForm/static/js/app.js HTTP/1.1" 200 55
0:0:0:0:0:0:0:1 - - [14/Mar/2018:16:51:45 +0530] "GET /CustomForm/static/js/service/user_service.js HTTP/1.1" 200 2071
0:0:0:0:0:0:0:1 - - [14/Mar/2018:16:51:45 +0530] "GET /CustomForm/static/js/controller/user_controller.js HTTP/1.1" 200 2400
0:0:0:0:0:0:0:1 - - [14/Mar/2018:16:51:47 +0530] "GET /CustomForm/user/ HTTP/1.1" 200 217
0:0:0:0:0:0:0:1 - - [14/Mar/2018:16:51:47 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [14/Mar/2018:16:52:09 +0530] "GET /CustomForm/ HTTP/1.1" 200 6081
0:0:0:0:0:0:0:1 - - [14/Mar/2018:16:52:09 +0530] "GET /CustomForm/static/js/app.js HTTP/1.1" 200 55
0:0:0:0:0:0:0:1 - - [14/Mar/2018:16:52:09 +0530] "GET /CustomForm/static/js/service/user_service.js HTTP/1.1" 200 2071
0:0:0:0:0:0:0:1 - - [14/Mar/2018:16:52:09 +0530] "GET /CustomForm/static/js/controller/user_controller.js HTTP/1.1" 200 2400
0:0:0:0:0:0:0:1 - - [14/Mar/2018:16:52:09 +0530] "GET /CustomForm/static/css/app.css HTTP/1.1" 200 622
0:0:0:0:0:0:0:1 - - [14/Mar/2018:16:52:10 +0530] "GET /CustomForm/user/ HTTP/1.1" 200 217
0:0:0:0:0:0:0:1 - - [14/Mar/2018:16:52:10 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [14/Mar/2018:16:52:33 +0530] "POST /CustomForm/user/ HTTP/1.1" 201 -
0:0:0:0:0:0:0:1 - - [14/Mar/2018:16:52:33 +0530] "GET /CustomForm/user/ HTTP/1.1" 200 290
